TransactionAmount,TransactionType,Location,Channel,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,CustomerOccupation
14.09,Debit,San Diego,ATM,70,81,1,5112.21,Doctor
376.24,Debit,Houston,ATM,68,141,1,13758.91,Doctor
126.29,Debit,Mesa,Online,19,56,1,1122.35,Student
184.5,Debit,Raleigh,Online,26,25,1,8569.06,Student
13.45,Credit,Atlanta,Online,26,198,1,7429.4,Student
92.15,Debit,Oklahoma City,ATM,18,172,1,781.68,Student
7.08,Credit,Seattle,ATM,37,139,1,13316.71,Doctor
171.42,Credit,Indianapolis,Branch,67,291,1,2796.24,Retired
106.23,Credit,Detroit,Branch,51,86,1,9095.14,Engineer
815.96,Debit,Nashville,ATM,55,120,1,1021.88,Doctor
17.78,Credit,Albuquerque,Online,52,59,1,7599.52,Engineer
190.02,Debit,Memphis,Online,21,173,1,1528.81,Student
494.52,Credit,Mesa,Branch,24,111,1,1620.02,Student
781.76,Debit,Memphis,ATM,26,123,1,189.69,Student
166.99,Debit,Louisville,Online,18,134,1,299.93,Student
465.45,Debit,Denver,ATM,36,129,1,3465.54,Engineer
555.8,Credit,Austin,Branch,19,158,1,1131.26,Student
492.93,Debit,Columbus,Online,39,234,1,5109.97,Engineer
18.68,Credit,Albuquerque,Branch,59,106,1,7948.37,Retired
71.48,Credit,Columbus,Online,18,169,1,6568.59,Student
59.32,Debit,Los Angeles,Branch,71,38,1,5750.89,Retired
85.77,Debit,Las Vegas,Branch,38,93,1,9146.19,Doctor
52.2,Debit,Atlanta,Online,39,120,1,8974.93,Engineer
345.84,Debit,Fort Worth,Online,22,142,3,1402.5,Student
145.54,Debit,Raleigh,Online,21,96,1,1930.96,Student
7.49,Credit,Houston,Online,65,276,1,3634.67,Retired
246.93,Debit,Miami,ATM,23,158,5,673.35,Student
40.32,Debit,Milwaukee,Branch,37,95,1,2686.52,Engineer
127.45,Debit,Las Vegas,Online,44,197,1,1772.06,Doctor
56.17,Debit,Detroit,Branch,27,283,1,1351.69,Student
28.31,Credit,Miami,Online,59,20,1,8334.47,Doctor
59.12,Debit,Baltimore,ATM,29,257,1,9823.64,Doctor
396.45,Debit,New York,ATM,49,168,3,9690.15,Engineer
877.81,Debit,Los Angeles,Online,22,150,1,399,Student
255.26,Credit,San Francisco,Branch,45,50,1,14815.87,Doctor
124.76,Debit,Seattle,Branch,49,45,1,5764.72,Engineer
78.13,Debit,Milwaukee,Branch,26,145,1,900.61,Student
649.28,Debit,San Jose,ATM,75,137,1,4875.86,Retired
795.31,Debit,Mesa,ATM,66,90,2,7914.88,Doctor
335.63,Debit,Oklahoma City,Online,55,216,1,1019.39,Retired
328.47,Debit,San Antonio,ATM,63,119,1,4323.66,Retired
34.02,Debit,Philadelphia,Online,38,19,1,14214.48,Doctor
241.42,Credit,Charlotte,Online,57,116,1,13357.02,Doctor
55.32,Debit,Tucson,ATM,19,117,1,241.79,Student
304.31,Debit,Louisville,Branch,27,33,1,868.61,Student
435.27,Debit,Chicago,Branch,74,90,1,4673.28,Retired
164.49,Debit,Baltimore,Branch,26,75,1,1509.27,Student
510.24,Debit,Oklahoma City,Online,19,105,1,781.7,Student
626.9,Debit,Denver,Online,26,138,1,265.51,Student
22.01,Credit,Sacramento,Online,41,175,1,1335.09,Engineer
425.34,Credit,Kansas City,Online,69,121,1,3907.54,Retired
424.56,Debit,Omaha,Online,51,264,1,5183.85,Engineer
85.43,Debit,Virginia Beach,Branch,67,145,1,14904.9,Doctor
169.5,Debit,San Diego,Branch,28,142,1,918.88,Student
104.63,Debit,Omaha,ATM,62,90,1,4477.78,Retired
316.95,Debit,Mesa,Branch,25,83,1,1324.03,Student
60.54,Credit,Columbus,Branch,57,52,1,3534.93,Retired
292.56,Credit,Dallas,Branch,68,61,1,4638.37,Retired
386.52,Debit,Indianapolis,Branch,48,28,1,5630.61,Engineer
112.07,Debit,Kansas City,Branch,23,51,1,930.3,Student
568.52,Debit,Indianapolis,ATM,46,152,1,5499.91,Engineer
263.99,Debit,Dallas,Branch,79,227,2,4175.02,Retired
349.64,Debit,Las Vegas,Online,48,226,1,6651.62,Engineer
601.4,Credit,Philadelphia,Branch,56,104,1,8458.29,Engineer
5.77,Debit,Charlotte,Online,50,124,1,13988.12,Doctor
201.33,Credit,Nashville,Branch,42,186,1,2585.07,Engineer
298.42,Debit,Indianapolis,Branch,56,225,1,3014.75,Retired
521.06,Debit,Albuquerque,Branch,25,128,1,1951.42,Student
117.28,Credit,Austin,Online,60,16,1,3665.77,Engineer
189.12,Credit,Indianapolis,Branch,32,103,1,977.01,Engineer
133.55,Debit,Atlanta,ATM,44,220,1,3846.28,Engineer
143.21,Debit,Dallas,Online,35,135,1,6374.82,Engineer
24.77,Debit,Boston,ATM,62,55,1,5866.01,Retired
233.92,Credit,Jacksonville,Online,26,280,1,6537.62,Student
1212.51,Debit,Indianapolis,Branch,20,24,1,605.95,Student
232.12,Debit,Omaha,ATM,37,51,1,6689.87,Engineer
162.63,Debit,Kansas City,Online,22,113,1,634.17,Student
91.53,Debit,Milwaukee,Branch,44,69,1,14676.05,Doctor
120.29,Debit,Miami,Branch,19,77,1,1362.39,Student
174.25,Debit,Seattle,Online,50,67,1,10528.34,Doctor
183.71,Debit,Denver,ATM,38,102,1,552.52,Engineer
345.39,Credit,Phoenix,Online,58,80,1,6451.96,Engineer
922.55,Debit,Detroit,ATM,63,87,1,4715.84,Retired
259.91,Debit,Denver,Online,49,170,1,7176.86,Doctor
154.71,Debit,San Diego,Online,34,157,1,1523.72,Doctor
1340.19,Credit,Austin,Online,54,30,1,8654.28,Engineer
24.56,Debit,Mesa,Branch,64,69,1,9869.93,Doctor
568.07,Debit,Washington,ATM,48,115,1,10556.81,Doctor
9.61,Credit,San Diego,Online,58,179,1,12883.91,Doctor
392.96,Debit,Kansas City,Online,24,100,1,791.65,Student
716.93,Credit,Milwaukee,Online,60,34,1,4064.02,Retired
223.85,Debit,Kansas City,ATM,53,55,4,2929.91,Engineer
230.66,Debit,Houston,Branch,21,135,1,618.05,Student
442.12,Debit,Los Angeles,Online,19,260,1,1375.8,Student
644.17,Debit,San Antonio,ATM,29,72,1,1143.52,Engineer
508.68,Credit,Mesa,Branch,51,127,1,7708.41,Engineer
858.63,Credit,San Francisco,Branch,27,185,1,1872.96,Student
25.36,Debit,Louisville,ATM,57,78,1,201.04,Engineer
147.62,Debit,Charlotte,Branch,71,133,1,2115.8,Retired
115.02,Debit,San Antonio,Branch,37,175,1,7643.66,Doctor
383.37,Debit,Fort Worth,Branch,30,24,1,8901.93,Engineer
98.54,Credit,El Paso,Online,20,167,1,9383.43,Student
83.24,Credit,Fort Worth,Branch,55,164,1,1181.31,Doctor
196.16,Debit,Virginia Beach,Branch,27,146,1,9418.86,Engineer
129.94,Debit,Las Vegas,ATM,32,235,1,7954.92,Engineer
306.9,Debit,Colorado Springs,Online,46,51,1,9418.08,Engineer
114.98,Debit,Seattle,Online,59,80,1,6144.68,Retired
756.59,Debit,Sacramento,Branch,27,17,1,420.65,Student
